,PBE,NN_PBE,NN_XALPHA,x
117,1.5772923218393662,1.580067526205412,1.1683970541546793,-6.967239344786896
118,1.5772273459512929,1.5800041127208477,1.1683966715379877,-6.966959339186784
119,1.5771623598184275,1.579940332405172,1.168396073626658,-6.966679333586672
120,1.5770973634460264,1.5798763444211328,1.1683957373449467,-6.96639932798656
121,1.577032356839351,1.5798123077935327,1.1683949474693933,-6.966119322386448
122,1.5769673400036637,1.579748540272716,1.1683946574627824,-6.965839316786336
123,1.5769023129442317,1.5796845651885527,1.1683937551843249,-6.965559311186223
124,1.5768372756663267,1.5796207002569584,1.168393273183952,-6.965279305586112
125,1.5767722281752226,1.5795569453981202,1.1683930524153903,-6.964999299985999
126,1.5767071704761975,1.579492983080916,1.1683922990675066,-6.964719294385888
127,1.5766421025745319,1.5794289721233705,1.1683914895476637,-6.964439288785775
128,1.576577024475512,1.5793653885194952,1.168391258506982,-6.964159283185664
129,1.5765119361844264,1.5793012802485018,1.16839057451051,-6.963879277585551
130,1.5764468377065664,1.579237281995654,1.1683900721922067,-6.96359927198544
131,1.5763817290472277,1.5791733936812344,1.1683896721442497,-6.963319266385327
132,1.57631661021171,1.5791094567062989,1.1683889779891146,-6.963039260785216
133,1.5762514812053159,1.5790453126094395,1.1683882276326212,-6.962759255185103
134,1.5761863420333508,1.57898143686879,1.1683878964500802,-6.962479249584992
135,1.5761211927011258,1.5789173540531505,1.168387271283279,-6.962199243984879
136,1.5760560332139526,1.5788532226708587,1.1683865898833175,-6.961919238384768
137,1.5759908635771485,1.5787890427453577,1.1683859314476852,-6.9616392327846555
138,1.5759256837960347,1.5787256058656534,1.168385850044526,-6.961359227184544
139,1.575860493875934,1.5786611704735798,1.168384920776567,-6.9610792215844315
140,1.5757952938221742,1.578597319655079,1.1683844892604005,-6.96079921598432
141,1.5757300836400858,1.5785334201811643,1.1683839223188495,-6.9605192103842075
142,1.5756648633350028,1.5784689975478166,1.1683832200271642,-6.960239204784096
143,1.5755996329122632,1.578405159077878,1.1683827778143687,-6.9599591991839835
144,1.575534392377208,1.5783409557398125,1.1683823583375905,-6.959679193583872
145,1.5754691417351823,1.5782770200545535,1.168381487350363,-6.95939918798376
146,1.5754038809915347,1.578212877723848,1.1683810343461827,-6.959119182383648
147,1.5753386101516158,1.5781488448827117,1.1683806040293427,-6.958839176783536
148,1.575273329220782,1.5780847634816357,1.1683798804319945,-6.958559171183424
149,1.5752080382043911,1.5780204756081833,1.168379495475488,-6.958279165583312
150,1.5751427371078048,1.577956297191717,1.1683788173202696,-6.9579991599832
151,1.5750774259363889,1.5778920702855201,1.1683782408126036,-6.957719154383088
152,1.575012104695514,1.5778279527460963,1.1683776080404025,-6.957439148782976
153,1.5749467733905504,1.5777636288963628,1.1683772346251764,-6.957159143182864
154,1.574881432026875,1.5776995721563538,1.1683764104443701,-6.956879137582751
155,1.574816080609867,1.5776356246136871,1.1683760821610254,-6.95659913198264
156,1.5747507191449097,1.577571155404207,1.1683754609585049,-6.956319126382527
157,1.5746853476373885,1.5775069531692767,1.1683748623385568,-6.956039120782416
158,1.5746199660926932,1.5774425448435594,1.1683742862736266,-6.955759115182303
159,1.5745545745162177,1.5773787185211983,1.168373653939355,-6.955479109582192
160,1.5744891729133579,1.5773143708991229,1.1683732016986763,-6.955199103982079
161,1.5744237612895138,1.5772502899347465,1.1683726931336142,-6.954919098381968
162,1.5743583396500884,1.5771856879908022,1.1683721282679271,-6.954639092781855
